Exp,fps
1618839926.416019,8.62507654755436
1618839926.4398952,14.304207582660439
1618839926.462146,18.510291722197543
1618839926.484701,21.665303557984476
1618839926.5074801,24.107190210552197
1618839926.529922,26.104094427210907
1618839926.5520372,27.781856859935786
1618839926.5748968,29.109751038854238
1618839926.597335,30.276321897854416
1618839926.6197639,31.280204947902817
1618839926.6424892,32.12466707163217
1618839926.664039,32.97020317887709
1618839926.686759,33.619008704737176
1618839926.709436,34.199475770892825
1618839926.731433,34.77381948678479
1618839926.753248,35.306448943564845
1618839926.776248,35.70116028770935
1618839926.7976232,36.177341327185864
1618839926.818942,36.6181764919016
1618839926.8398159,37.05474096883325
1618839926.8617449,37.38843557883529
1618839926.882942,37.74439495734883
1618839926.904282,38.06636125307841
1618839926.9257758,38.35685620813709
1618839926.946965,38.64638710385521
1618839926.968222,38.913534127169434
1618839926.9899788,39.135823048100825
1618839927.011533,39.35569111404717
1618839927.0330791,39.563168054788164
1618839927.054365,39.77244856428089
1618839927.075534,39.97622059652259
1618839927.097045,40.15202560695433
1618839927.117578,40.36672558577623
1618839927.138737,40.540669445689815
1618839927.1601422,40.694456717375836
1618839927.181448,40.845316517165244
1618839927.202632,40.994595361184544
1618839927.2240472,41.12674288101492
1618839927.24585,41.23597976687926
1618839927.267463,41.34841309959075
1618839927.288696,41.471866901606475
1618839927.309969,41.58844078994273
1618839927.330902,41.71403958759366
1618839927.353075,41.78533543652855
1618839927.374687,41.87554031079095
1618839927.3969018,41.93908075005311
1618839927.4183471,42.029055490872544
1618839927.439678,42.119894279065356
1618839927.46119,42.20074290532307
1618839927.482195,42.296854552114375
1618839927.5039208,42.36418747565098
1618839927.52492,42.454316705936904
1618839927.54639,42.525330654504955
1618839927.567887,42.59303225317929
1618839927.58914,42.666550820516555
1618839927.6102982,42.74078325538228
1618839927.631458,42.81259200951792
1618839927.6525729,42.883548983364136
1618839927.6741388,42.938288945573895
1618839927.6953018,43.00372412250901
1618839927.7167392,43.058874186910806
1618839927.7379441,43.119306252090766
1618839927.759171,43.17738985139439
1618839927.781047,43.21480323084673
1618839927.802409,43.2659826203876
1618839927.823703,43.317631785690615
1618839927.845356,43.357781945301895
1618839927.866554,43.40939979482675
1618839927.887871,43.45643681150676
1618839927.90912,43.504012002135426
1618839927.929858,43.564055114051925
1618839927.950957,43.61302406045734
1618839927.9722502,43.65569174536651
1618839927.993881,43.68856664307091
1618839928.0150871,43.73144693363841
1618839928.036248,43.77441431561583
1618839928.0575,43.814078089205466
1618839928.078542,43.85794748179473
1618839928.099664,43.89888808006268
1618839928.120668,43.94170254323589
1618839928.1419919,43.97589903567911
1618839928.16325,44.01084813734819
1618839928.184841,44.037250207983156
1618839928.2064042,44.06372453877345
1618839928.227554,44.099030858945355
1618839928.248849,44.13028697515106
1618839928.270158,44.16055356015276
1618839928.2912152,44.19574294550564
1618839928.3123999,44.22742637127384
1618839928.333847,44.25270457779477
1618839928.3546,44.29243324619243
1618839928.3760462,44.31656866442869
1618839928.396937,44.35196767743052
1618839928.4180968,44.38098907283392
1618839928.439879,44.39656884622664
1618839928.4606578,44.43241066655558
1618839928.4819012,44.45815364829567
1618839928.502948,44.487337904936915
1618839928.5244958,44.50592355860374
1618839928.5450969,44.54295366107445
1618839928.566323,44.56703566112991
1618839928.587892,44.583966032263056
1618839928.6087658,44.613987221341254
1618839928.629962,44.6373196319653
1618839928.6511989,44.659452534657866
1618839928.6729002,44.67247071635257
1618839928.693438,44.706948044676864
1618839928.7146502,44.72833129778011
1618839928.7366421,44.73505356714855
1618839928.75752,44.7619012739644
1618839928.779278,44.772435023499476
1618839928.800909,44.785041796040126
1618839928.822421,44.799545819825745
1618839928.843659,44.81863197023099
1618839928.865249,44.831231853097016
1618839928.887272,44.83615092466831
1618839928.908095,44.86160195795969
1618839928.929269,44.88064031742023
1618839928.950697,44.895088854548966
1618839928.972213,44.90784349167465
1618839928.993234,44.92863402100135
1618839929.0146098,44.94320762619924
1618839929.0361018,44.955663847130275
1618839929.057281,44.97304700009828
1618839929.078752,44.985421124721896
1618839929.1002939,44.996464563498584
1618839929.121902,45.006270755598585
1618839929.142741,45.028137309083334
1618839929.164311,45.038156745354264
1618839929.185788,45.04949379963025
1618839929.206613,45.07077143270005
1618839929.227934,45.08410747641367
1618839929.249173,45.09851992083006
1618839929.2708192,45.106530516755896
1618839929.291695,45.126037021400776
1618839929.3129091,45.14020847474223
1618839929.334541,45.147946855923344
1618839929.355608,45.16396975584947
1618839929.376888,45.17660151052355
1618839929.398171,45.189015970443805
1618839929.4196868,45.197913972021524
1618839929.44135,45.20456018509676
1618839929.462764,45.21467484957425
1618839929.484403,45.22145795864686
1618839929.505388,45.23737767969067
1618839929.526777,45.247424383341134
1618839929.548095,45.25831413703478
1618839929.569639,45.265946611874476
1618839929.590529,45.28249132718727
1618839929.611783,45.29382101693687
1618839929.6332512,45.30211107837625
1618839929.654104,45.31861670885473
1618839929.675811,45.3234360378193
1618839929.697516,45.328220467045504
1618839929.719399,45.330570995570476
1618839929.7403789,45.34481681130016
1618839929.7614741,45.35736985034957
1618839929.783479,45.357905452307314
1618839929.804404,45.37243923945519
1618839929.825637,45.382822544938215
1618839929.8469288,45.39232644131209
1618839929.868204,45.401933225527095
1618839929.889056,45.41677835107559
1618839929.910528,45.423650322092456
1618839929.932235,45.42750169940154
1618839929.952976,45.443309061313705
1618839929.97431,45.45161349145414
1618839929.9957771,45.45819834548393
1618839930.017291,45.46412006616778
1618839930.038833,45.46963310553047
1618839930.0599291,45.480477305640775
1618839930.0809228,45.49241572662232
1618839930.102205,45.50079942011467
1618839930.123004,45.51481572646747
1618839930.144067,45.52557717977113
1618839930.1655118,45.53170947250997
1618839930.1869252,45.53814900545454
1618839930.2079418,45.54913318464185
1618839930.229275,45.55633575375757
1618839930.250239,45.56770525593102
1618839930.2718122,45.57197741342017
1618839930.293359,45.57650015551103
1618839930.314961,45.58036129036758
1618839930.3357491,45.59336418319116
1618839930.357049,45.6004781887983
1618839930.378264,45.608468462724886
1618839930.400241,45.60788728656972
1618839930.421283,45.6176705385069
1618839930.442471,45.625757260832316
1618839930.463745,45.632797204006465
1618839930.4850602,45.63932934558698
1618839930.5059571,45.65033177329665
1618839930.527149,45.65804959694351
1618839930.548788,45.6608752671985
1618839930.569866,45.669661269293385
1618839930.591114,45.676572579141656
1618839930.612552,45.68139246159633
1618839930.6333451,45.69297551271904
1618839930.6546738,45.69880126762504
1618839930.6758459,45.70622052520103
1618839930.696824,45.715585375561496
1618839930.717916,45.723671031315504
1618839930.7390301,45.73147379699191
1618839930.760375,45.73682359105361
1618839930.781872,45.74057108330183
1618839930.803452,45.74343970237453
1618839930.824587,45.75077013796399
1618839930.8462038,45.75319101011387
1618839930.866899,45.76482659948069
1618839930.888803,45.76430641251641
1618839930.909971,45.771087727122755
1618839930.931573,45.7735075029688
1618839930.9522681,45.784849041119095
1618839930.973473,45.791092477037054
1618839930.9954,45.79020800894166
1618839931.01652,45.797195600246454
1618839931.037645,45.80406288370138
1618839931.058677,45.811764503153555
1618839931.0795252,45.82116230504299
1618839931.1008608,45.82581026281519
1618839931.1222022,45.830388575334375
1618839931.143657,45.833838296979735
1618839931.1647959,45.84023506379192
1618839931.186176,45.84431516165647
1618839931.207335,45.8504151602258
1618839931.228079,45.86033377394427
1618839931.2493372,45.86541470922034
1618839931.270602,45.87036912972442
1618839931.2923741,45.87064078681169
1618839931.31312,45.88027999737485
1618839931.3346,45.88316755142391
1618839931.3558578,45.88803635598356
1618839931.377464,45.88971893039534
1618839931.399879,45.88410733351569
1618839931.420833,45.89163442372508
1618839931.44238,45.8938071752245
1618839931.4633899,45.90072621921141
1618839931.484575,45.906057304261296
1618839931.505976,45.9094312570617
1618839931.527494,45.91174118174144
1618839931.5481548,45.92154732367889
1618839931.5693529,45.926586920146
1618839931.590901,45.928547654270304
1618839931.611682,45.937116229752604
1618839931.632639,45.94411882461817
1618839931.653982,45.94774508639297
1618839931.6757388,45.94780366708119
1618839931.696495,45.95637628043173
1618839931.717752,45.960649562414005
1618839931.739363,45.96188950430838
1618839931.760383,45.96808606104782
1618839931.78152,45.973270556710766
1618839931.8027148,45.97791388209519
1618839931.824182,45.98027410036154
1618839931.8450172,45.98784874794926
1618839931.8661902,45.99256537367073
1618839931.887438,45.99664528747366
1618839931.908767,46.000021751948275
1618839931.9294322,46.00879887191399
1618839931.950603,46.01339095861644
1618839931.971724,46.018346333369244
1618839931.993037,46.02172893096267
1618839932.014904,46.02060848343547
1618839932.0388448,46.00288110468252
1618839932.060134,46.006465210431834
1618839932.081543,46.0090679375778
1618839932.102546,46.01487090329777
1618839932.124095,46.01631759226143
1618839932.145207,46.02118616955574
1618839932.1665611,46.02413676191561
1618839932.187884,46.02729265596331
1618839932.208688,46.03448456778527
1618839932.229717,46.03987120303869
1618839932.250891,46.044090072995004
1618839932.272253,46.04683716833719
1618839932.29296,46.054597725603706
1618839932.3143628,46.05698196411912
1618839932.335941,46.05800624831528
1618839932.356941,46.06341859578558
1618839932.3783062,46.066027094720965
1618839932.399476,46.07009770303674
1618839932.420927,46.072009897966836
1618839932.4417942,46.078289782293915
1618839932.462889,46.082837145038425
1618839932.483944,46.08764414517123
1618839932.505353,46.08978903285412
1618839932.5261471,46.09647204586261
1618839932.547188,46.101280351010026
1618839932.568661,46.10288632783013
1618839932.589516,46.10901156111916
1618839932.610703,46.112670208838104
1618839932.631694,46.117731936260874
